time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,et0_fao_evapotranspiration,city
2010-01-01,2,30.0,22.7,26.1,34.4,25.2,29.2,2010-01-01T00:52,2010-01-01T12:35,20.92,0.0,0.0,0.0,0.0,11.7,27.4,4.58,Colombo
2010-01-02,51,29.9,23.5,26.2,33.8,26.2,29.8,2010-01-02T00:52,2010-01-02T12:36,17.71,0.1,0.1,0.0,1.0,13.0,27.0,3.84,Colombo
2010-01-03,51,29.5,23.2,26.0,34.3,26.3,29.9,2010-01-03T00:53,2010-01-03T12:36,17.76,0.6,0.6,0.0,3.0,12.3,27.4,3.65,Colombo
2010-01-04,2,28.9,21.9,25.3,31.6,23.4,27.8,2010-01-04T00:53,2010-01-04T12:37,16.5,0.0,0.0,0.0,0.0,17.0,34.6,3.79,Colombo
2010-01-05,1,28.1,21.3,24.5,30.1,23.1,26.1,2010-01-05T00:53,2010-01-05T12:37,23.61,0.0,0.0,0.0,0.0,18.7,37.1,4.97,Colombo
2010-01-06,2,28.7,21.3,25.0,31.2,22.9,26.6,2010-01-06T00:54,2010-01-06T12:38,21.48,0.0,0.0,0.0,0.0,17.1,32.0,4.89,Colombo
2010-01-07,3,29.3,22.0,25.8,33.8,24.3,28.6,2010-01-07T00:54,2010-01-07T12:38,19.38,0.0,0.0,0.0,0.0,13.5,25.6,4.37,Colombo
2010-01-08,53,28.3,23.3,25.5,32.1,26.1,29.4,2010-01-08T00:54,2010-01-08T12:39,13.0,0.8,0.8,0.0,3.0,13.0,24.8,2.8,Colombo
2010-01-09,61,29.1,23.3,25.9,35.3,28.0,31.2,2010-01-09T00:55,2010-01-09T12:39,16.89,3.2,3.2,0.0,5.0,11.5,31.7,3.35,Colombo
2010-01-10,51,29.8,22.8,26.1,35.6,27.3,31.3,2010-01-10T00:55,2010-01-10T12:40,20.52,0.1,0.1,0.0,1.0,6.9,18.4,4.12,Colombo
2010-01-11,51,29.7,22.4,26.4,35.6,26.6,31.6,2010-01-11T00:55,2010-01-11T12:40,19.88,0.7,0.7,0.0,5.0,6.4,18.4,4.05,Colombo
2010-01-12,63,29.7,23.8,26.1,36.5,29.0,31.5,2010-01-12T00:56,2010-01-12T12:41,19.56,6.8,6.8,0.0,4.0,11.2,26.6,3.87,Colombo
2010-01-13,63,30.0,23.5,26.2,36.7,28.4,31.5,2010-01-13T00:56,2010-01-13T12:41,18.41,4.8,4.8,0.0,10.0,7.6,24.1,3.74,Colombo
2010-01-14,63,30.3,23.2,26.2,37.2,27.9,31.7,2010-01-14T00:56,2010-01-14T12:42,19.46,5.7,5.7,0.0,4.0,10.2,26.6,3.94,Colombo
2010-01-15,1,30.6,23.3,26.5,34.5,26.1,29.6,2010-01-15T00:57,2010-01-15T12:42,21.05,0.0,0.0,0.0,0.0,12.4,24.8,4.66,Colombo
2010-01-16,53,30.9,23.6,26.6,36.0,26.3,30.8,2010-01-16T00:57,2010-01-16T12:43,19.46,3.3,3.3,0.0,4.0,10.8,28.1,4.07,Colombo
2010-01-17,61,29.7,24.1,26.5,33.4,27.3,30.0,2010-01-17T00:57,2010-01-17T12:43,16.88,2.7,2.7,0.0,4.0,14.2,32.0,3.7,Colombo
